file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-072.fit,R,ok,85.03439494569771,77.53434720718005,314.90638630924155,-1499.7217535265795,65066.467862067344,3.679609078331518e-06,0.0010192517146978305
qatar1b-073.fit,R,ok,84.93989012709483,77.42359255226566,303.23708608269317,-1996.8335165201984,58369.31412431256,0.0,0.0010818050690294663
qatar1b-074.fit,R,ok,83.97635380936312,76.58025845000373,281.2197958765769,-1878.9942654181075,53280.52167661909,0.0,0.0011590768596744282
qatar1b-075.fit,R,ok,84.24462227508954,77.08775447724713,235.1845258271484,-1927.7553348396623,40545.18452216795,0.0,0.0011259603779694444
qatar1b-076.fit,R,ok,84.56537644310937,77.24089521596068,250.89816636584032,-1539.9454289918585,39917.81772643047,0.0,0.0010873244826469636
qatar1b-077.fit,R,ok,83.95193897554734,76.59441275743754,272.8779166071353,-1988.706671616606,50064.78974754083,0.0,0.0011719554914485886
qatar1b-078.fit,R,ok,83.74385896891803,76.49471921264507,263.07177994986057,-2086.2288104597155,47271.607365035496,0.0,0.001252906891171882
qatar1b-079.fit,R,ok,84.47055697456582,77.08710494346549,268.2472433137304,-1747.948891347679,49059.99458155006,0.0,0.001228989432162727
qatar1b-080.fit,R,ok,84.01145375710209,76.69758747443936,261.99698792031035,-1383.9560534069963,44584.41520718391,0.0,0.0010946837008036267
qatar1b-081.fit,R,ok,84.12073132828246,76.89840680744916,242.42817620018084,-1723.5683566369014,38363.9679811082,0.0,0.0010854846781077978
qatar1b-082.fit,R,ok,85.19147260634277,77.9395785796331,242.3392928939608,-1770.297714832558,40994.94296080703,0.0,0.0010450089782461512
qatar1b-083.fit,R,ok,85.2156922635819,77.90127723026535,244.32892636617018,-1529.1537111841008,42922.889292204316,0.0,0.000954858555827029
qatar1b-084.fit,R,ok,84.72750683861335,77.47877221004805,227.82901976734107,-1513.4566671000896,31909.775322896567,0.0,0.0009603779694445262
qatar1b-085.fit,R,ok,84.6588252058348,77.4349821442564,214.70126481612132,-1374.1454008544893,33999.59665782702,0.0,0.0008923052014953931
